FullName,Direction,Name,Suffix,SuffixDirection,MinAddress,MaxAddress
N BELL AVE,N,BELL,AVE, ,132,7599
S BELL AVE,S,BELL,AVE, ,100,11899
W BELLE PLAINE AVE,W,BELLE PLAINE,AVE, ,800,8399
E BELLEVUE PL,E,BELLEVUE,PL, ,1,149
W BELMONT AVE,W,BELMONT,AVE, ,300,8999
N BELMONT HARBOR DR,N,BELMONT HARBOR,DR, ,3400,3559
N BELMONT HARBOR ACCESS RD,N,BELMONT HARBOR ACCESS,RD, ,3100,3199
S BENNETT AVE,S,BENNETT,AVE, ,6700,9599
S BENSLEY AVE,S,BENSLEY,AVE, ,9525,13559
S BENSON ST,S,BENSON,ST, ,3100,3299
E BENTON PL,E,BENTON,PL, ,1,499
W BERENICE AVE,W,BERENICE,AVE, ,1800,6759
S BERKELEY AVE,S,BERKELEY,AVE, ,4114,5299
N BERNARD ST,N,BERNARD,ST, ,2400,6299
W BERTEAU AVE,W,BERTEAU,AVE, ,1400,8399
W BERWYN AVE,W,BERWYN,AVE, ,900,8799
N BESLY CT,N,BESLY,CT, ,1600,1899
N BESSIE COLEMAN DR,N,BESSIE COLEMAN,DR, ,5324,10003
E BEST DR,E,BEST,DR, ,400,731
S BEVERLY AVE,S,BEVERLY,AVE, ,8700,11029
W BEVERLY GLEN PKWY,W,BEVERLY GLEN,PKWY, ,1600,1799
N BINGHAM ST,N,BINGHAM,ST, ,2000,2199
W BIRCHWOOD AVE,W,BIRCHWOOD,AVE, ,1300,7761
S BIRKHOFF AVE,S,BIRKHOFF,AVE, ,8300,8399
N BISHOP ST,N,BISHOP,ST, ,1,831
S BISHOP ST,S,BISHOP,ST, ,800,12299
E BISHOP FORD EXPY OB,E,BISHOP FORD,EXPY,OB,100,959
E BISHOP FORD EXPY IB,E,BISHOP FORD,EXPY,IB,1,1029
S BISHOP FORD EXPY IB,S,BISHOP FORD,EXPY,IB,9550,13799
S BISHOP FORD EXPY OB,S,BISHOP FORD,EXPY,OB,9608,13799
E BISHOP FORD 103RD ST ER,E,BISHOP FORD 103RD ST,ER, ,900,1559
S BISHOP FORD 103RD ST ER,S,BISHOP FORD 103RD ST,ER, ,10001,10399
S BISHOP FORD 103RD ST XR EB,S,BISHOP FORD 103RD ST,XR,EB,10200,10299
S BISHOP FORD 103RD ST XR WB,S,BISHOP FORD 103RD ST,XR,WB,10242,10299
S BISHOP FORD 103RD ST XR,S,BISHOP FORD 103RD ST,XR, ,10020,10499
S BISHOP FORD 103RD ST STONY ER,S,BISHOP FORD 103RD ST STONY,ER, ,10100,10132
S BISHOP FORD 103RD ST STONY XR,S,BISHOP FORD 103RD ST STONY,XR, ,10018,10198
S BISHOP FORD 111TH ST ER EB,S,BISHOP FORD 111TH ST,ER,EB,11100,11199
S BISHOP FORD 111TH ST ER WB,S,BISHOP FORD 111TH ST,ER,WB,11110,11199
S BISHOP FORD 111TH ST ER,S,BISHOP FORD 111TH ST,ER, ,10940,11231
W BRODMAN AVE,W,BRODMAN,AVE, ,8400,8699
S BISHOP FORD 111TH ST XR WB,S,BISHOP FORD 111TH ST,XR,WB,11063,11099
S BISHOP FORD 111TH ST XR EB,S,BISHOP FORD 111TH ST,XR,EB,11063,11199
S BISHOP FORD 111TH ST XR,S,BISHOP FORD 111TH ST,XR, ,10940,11499
S BISHOP FORD 115TH ST ER,S,BISHOP FORD 115TH ST,ER, ,11130,11545
S BISHOP FORD 115TH ST XR EB,S,BISHOP FORD 115TH ST,XR,EB,11422,11499
S BISHOP FORD 115TH ST XR WB,S,BISHOP FORD 115TH ST,XR,WB,11422,11499
S BISHOP FORD 115TH ST XR,S,BISHOP FORD 115TH ST,XR, ,11338,11599
E BISHOP FORD 130TH ST ER,E,BISHOP FORD 130TH ST,ER, ,1282,1499
S BISHOP FORD 130TH ST ER,S,BISHOP FORD 130TH ST,ER, ,12847,13099
E BISHOP FORD 130TH ST XR,E,BISHOP FORD 130TH ST,XR, ,1282,1499
S BISHOP FORD 130TH ST XR,S,BISHOP FORD 130TH ST,XR, ,12851,13099
S BISHOP FORD 137TH ST ER,S,BISHOP FORD 137TH ST,ER, ,13600,13799
S BISHOP FORD 137TH ST XR,S,BISHOP FORD 137TH ST,XR, ,13600,13699
E BISHOP FORD EXPY ER,E,BISHOP FORD EXPY,ER, ,1400,1599
S BISHOP FORD EXPY ER,S,BISHOP FORD EXPY,ER, ,9742,9999
W BISHOP FORD I57 XR,W,BISHOP FORD I57,XR, ,1,199
S BISHOP FORD STONY ISLAND AV ER,S,BISHOP FORD STONY ISLAND AV,ER, ,10400,10799
E BISHOP FORD STONY ISLAND AV XR,E,BISHOP FORD STONY ISLAND AV,XR, ,700,1599
S BISHOP FORD STONY ISLAND AV XR,S,BISHOP FORD STONY ISLAND AV,XR, ,9714,10799
N BISSELL ST,N,BISSELL,ST, ,1630,2299
W BITTERSWEET PL,W,BITTERSWEET,PL, ,612,6599
W BLACKHAWK ST,W,BLACKHAWK,ST, ,400,1699
S BLACKSTONE AVE,S,BLACKSTONE,AVE, ,4900,9299
S BLAKE ST,S,BLAKE,ST, ,3600,3699
S BLANCHARD CT,S,BLANCHARD,CT, ,2400,2447
W BLISS ST,W,BLISS,ST, ,900,999
W BLOOMINGDALE AVE,W,BLOOMINGDALE,AVE, ,1634,7199
S BLUE ISLAND AVE,S,BLUE ISLAND,AVE, ,1200,2599
S BONAPARTE ST,S,BONAPARTE,ST, ,2948,2999
S BOND AVE,S,BOND,AVE, ,8342,8499
S BONFIELD ST,S,BONFIELD,ST, ,2700,3099
W BOSAK AVE,W,BOSAK,AVE, ,2432,2499
N BOSWORTH AVE,N,BOSWORTH,AVE, ,1200,7699
S BOULEVARD WAY,S,BOULEVARD,WAY, ,2400,2499
E BOWEN AVE,E,BOWEN,AVE, ,400,899
E BOWEN DR,E,BOWEN,DR, ,732,899
W BOWLER ST,W,BOWLER,ST, ,2100,2199
N BOWMANVILLE AVE,N,BOWMANVILLE,AVE, ,5300,5499
W BRADLEY PL,W,BRADLEY,PL, ,738,2651
S BRAINARD AVE,S,BRAINARD,AVE, ,13100,13799
S BRANDON AVE,S,BRANDON,AVE, ,7900,13699
E BRAYTON ST,E,BRAYTON,ST, ,1,99
W BRAYTON ST,W,BRAYTON,ST, ,1,199
N BREAKWATER ACCESS,N,BREAKWATER ACCESS, , ,152,399
S BRENNAN AVE,S,BRENNAN,AVE, ,9600,9799
W BRIAR PL,W,BRIAR,PL, ,329,799
S BRIGHTON PL,S,BRIGHTON,PL, ,3950,4099
S BROAD ST,S,BROAD,ST, ,2800,3071
N BROADWAY,N,BROADWAY, , ,2800,6399
W BROMPTON AVE,W,BROMPTON,AVE, ,500,799
W BROSS AVE,W,BROSS,AVE, ,2200,2499
E BROWNING AVE,E,BROWNING,AVE, ,500,599
W BRYN MAWR AVE,W,BRYN MAWR,AVE, ,900,8799
N BRYN MAWR AV LSD ER,N,BRYN MAWR AV LSD,ER, ,5453,5599
W BUCKINGHAM PL,W,BUCKINGHAM,PL, ,600,899
W BUENA AVE,W,BUENA,AVE, ,634,1099
S BUFFALO AVE,S,BUFFALO,AVE, ,8200,13699
W BURKHARDT DR,W,BURKHARDT,DR, ,2830,2999
S BURLEY AVE,S,BURLEY,AVE, ,8200,13599
N BURLING ST,N,BURLING,ST, ,1200,2999
S BURNHAM AVE,S,BURNHAM,AVE, ,7640,8699
S BURNHAM HARBOR DR,S,BURNHAM HARBOR,DR, ,1800,1999
S BURNSIDE AVE,S,BURNSIDE,AVE, ,9123,9499
E BURTON PL,E,BURTON,PL, ,1,99
W BURTON PL,W,BURTON,PL, ,1,199
N BUSSE AVE,N,BUSSE,AVE, ,5000,5027
S BUTLER DR,S,BUTLER,DR, ,12400,12899
W BYRON ST,W,BYRON,ST, ,1000,8399
W CABRINI ST,W,CABRINI,ST, ,500,1399
W CAHILL TER,W,CAHILL,TER, ,7800,7897
N CALDWELL AVE,N,CALDWELL,AVE, ,5700,7199
S CALHOUN AVE,S,CALHOUN,AVE, ,9525,13637
W CALHOUN PL,W,CALHOUN,PL, ,1,351
N CALIFORNIA AVE,N,CALIFORNIA,AVE, ,1,7599
S CALIFORNIA AVE,S,CALIFORNIA,AVE, ,1,11099
S CALIFORNIA BLVD,S,CALIFORNIA,BLVD, ,1200,3057
W CALIFORNIA TER,W,CALIFORNIA,TER, ,700,799
S CALUMET AVE,S,CALUMET,AVE, ,1800,13599
S CALUMET PKWY,S,CALUMET,PKWY, ,1800,1899
S CALUMET ACCESS RD,S,CALUMET ACCESS,RD, ,10000,10499
S CALUMET RIVER,S,CALUMET RIVER, , ,8930,13799
N CAMBRIDGE AVE,N,CAMBRIDGE,AVE, ,800,3199
N CAMPBELL AVE,N,CAMPBELL,AVE, ,1,7499
S CAMPBELL AVE,S,CAMPBELL,AVE, ,1,11899
W CAMPBELL PL,W,CAMPBELL,PL, ,100,131
W CAMPBELL PARK DR,W,CAMPBELL PARK,DR, ,2200,2299
S CAMPUS PKWY,S,CAMPUS,PKWY, ,1400,1523
N CANAL ST,N,CANAL,ST, ,1,499
S CANAL ST,S,CANAL,ST, ,1,4399
S CANALPORT AVE,S,CANALPORT,AVE, ,1748,2199
N CANFIELD AVE,N,CANFIELD,AVE, ,5130,6399
W CANFIELD AV JFK ER,W,CANFIELD AV JFK,ER, ,7633,7799
N CANNON DR,N,CANNON,DR, ,1700,2799
W CARMEN AVE,W,CARMEN,AVE, ,830,8599
S CARONDOLET AVE,S,CARONDOLET,AVE, ,12200,13499
N CARPENTER ST,N,CARPENTER,ST, ,1,899
S CARPENTER ST,S,CARPENTER,ST, ,700,12299
W CARROLL AVE,W,CARROLL,AVE, ,100,4799
W CARROLL DR,W,CARROLL,DR, ,3600,3613
S CARVER DR,S,CARVER,DR, ,13000,13199
E CARVER PLZ,E,CARVER,PLZ, ,44,115
W CASTLEISLAND AVE,W,CASTLEISLAND,AVE, ,8416,8599
W CASTLEWOOD TER,W,CASTLEWOOD,TER, ,800,999
W CATALPA AVE,W,CATALPA,AVE, ,1000,8799
W CATHERINE AVE,W,CATHERINE,AVE, ,8100,8799
W CATON ST,W,CATON,ST, ,2101,2199
E CEDAR ST,E,CEDAR,ST, ,1,99
N CENTRAL AVE OP,N,CENTRAL,AVE,OP,1800,2199
N CENTRAL AVE,N,CENTRAL,AVE, ,1,6999
S CENTRAL AVE W,S,CENTRAL,AVE,W,818,1098
S CENTRAL AVE E,S,CENTRAL,AVE,E,823,1121
S CENTRAL AVE,S,CENTRAL,AVE, ,1,6499
N CENTRAL PARK AVE,N,CENTRAL PARK,AVE, ,200,6399
S CENTRAL PARK AVE,S,CENTRAL PARK,AVE, ,355,11699
N CENTRAL PARK BLVD W,N,CENTRAL PARK,BLVD,W,412,442
N CENTRAL PARK BLVD,N,CENTRAL PARK,BLVD, ,401,459
S CENTRAL PARK BLVD,S,CENTRAL PARK,BLVD, ,1,398
N CENTRAL PARK DR,N,CENTRAL PARK,DR, ,1,442
E CERMAK RD,E,CERMAK,RD, ,1,499
W CERMAK RD,W,CERMAK,RD, ,1,4599
W CHALMERS PL,W,CHALMERS,PL, ,832,899
N CHALMERS ST,N,CHALMERS,ST, ,2300,2399
S CHAMPLAIN AVE,S,CHAMPLAIN,AVE, ,4200,13099
W CHANAY ST,W,CHANAY,ST, ,2700,2799
S CHAPPEL AVE,S,CHAPPEL,AVE, ,6700,9831
S CHARLES ST,S,CHARLES,ST, ,9400,10459
W CHARLESTON ST,W,CHARLESTON,ST, ,2000,2599
W CHASE AVE,W,CHASE,AVE, ,1200,7799
W CHELSEA PL,W,CHELSEA,PL, ,1600,1731
E CHELTENHAM DR,E,CHELTENHAM,DR, ,3300,3499
E CHELTENHAM PL,E,CHELTENHAM,PL, ,3000,3199
N CHERRY AVE,N,CHERRY,AVE, ,1101,1599
N CHESTER AVE,N,CHESTER,AVE, ,4400,5599
E CHESTNUT ST,E,CHESTNUT,ST, ,1,299
W CHESTNUT ST,W,CHESTNUT,ST, ,1,1599
E CHICAGO AVE,E,CHICAGO,AVE, ,1,399
W CHICAGO AVE,W,CHICAGO,AVE, ,1,5999
S CHICAGO BEACH DR,S,CHICAGO BEACH,DR, ,4800,4999
E CHICAGO RIVER,E,CHICAGO RIVER, , ,1,730
S CHICAGO RIVER,S,CHICAGO RIVER, , ,1200,2399
W CHICAGO RIVER,W,CHICAGO RIVER, , ,1,1999
S CHICAGO SKYWAY EXPY IB,S,CHICAGO SKYWAY,EXPY,IB,6324,10599
S CHICAGO SKYWAY EXPY OB,S,CHICAGO SKYWAY,EXPY,OB,6416,10599
S CHICAGO SKYWAY 73RD ST ER,S,CHICAGO SKYWAY 73RD ST,ER, ,7212,7399
S CHICAGO SKYWAY 73RD ST XR,S,CHICAGO SKYWAY 73RD ST,XR, ,7300,7399
S CHICAGO SKYWAY 87TH ST ER,S,CHICAGO SKYWAY 87TH ST,ER, ,8716,8899
S CHICAGO SKYWAY 87TH ST XR,S,CHICAGO SKYWAY 87TH ST,XR, ,8700,8799
S CHICAGO SKYWAY IB CHICAGO ER,S,CHICAGO SKYWAY IB CHICAGO,ER, ,10540,10599
S CHICAGO SKYWAY INDIANAPOLIS AV ER,S,CHICAGO SKYWAY INDIANAPOLIS AV,ER, ,10425,10599
S CHICAGO SKYWAY INDIANAPOLIS AV XR,S,CHICAGO SKYWAY INDIANAPOLIS AV,XR, ,10425,10599
N COMMONS DR,N,COMMONS,DR, ,4600,4699
S CHICAGO SKYWAY ST LAWRENCE AV ER,S,CHICAGO SKYWAY ST LAWRENCE AV,ER, ,7000,7199
S CHICAGO SKYWAY ST LAWRENCE AV XR,S,CHICAGO SKYWAY ST LAWRENCE AV,XR, ,7000,7199
S CHICAGO SKYWAY STATE ST ER,S,CHICAGO SKYWAY STATE ST,ER, ,1,199
S CHICAGO SKYWAY STATE ST XR,S,CHICAGO SKYWAY STATE ST,XR, ,6600,6699
S CHICAGO SKYWAY STONY ISLAND AV ER,S,CHICAGO SKYWAY STONY ISLAND AV,ER, ,7631,10299
S CHICAGO SKYWAY STONY ISLAND AV XR,S,CHICAGO SKYWAY STONY ISLAND AV,XR, ,7631,8199
S CHICAGO SKYWAY TURNAROUND,S,CHICAGO SKYWAY TURNAROUND, , ,8734,8799
N CHICORA AVE,N,CHICORA,AVE, ,6500,6999
N CHILDRENS PLZ,N,CHILDRENS,PLZ, ,2300,2399
S CHINA PL,S,CHINA,PL, ,2014,2199
N CHRISTIANA AVE,N,CHRISTIANA,AVE, ,600,6199
S CHRISTIANA AVE,S,CHRISTIANA,AVE, ,300,11231
S CHURCH ST,S,CHURCH,ST, ,10300,11799
W CHURCHILL ROW,W,CHURCHILL,ROW, ,2100,2199
W CHURCHILL ST,W,CHURCHILL,ST, ,2000,2199
N CHURCHILL ROW ACCESS,N,CHURCHILL ROW ACCESS, , ,1800,1899
N CICERO AVE,N,CICERO,AVE, ,1,6399
S CICERO AVE,S,CICERO,AVE, ,1,11499
S CIRCLE PKWY,S,CIRCLE,PKWY, ,1405,1429
N CITYFRONT PLAZA DR,N,CITYFRONT PLAZA,DR, ,438,499
N CLAREMONT AVE,N,CLAREMONT,AVE, ,300,7599
S CLAREMONT AVE,S,CLAREMONT,AVE, ,500,10699
W CLARENCE AVE,W,CLARENCE,AVE, ,6500,7799
N CLARENDON AVE,N,CLARENDON,AVE, ,3912,4799
N CLARK ST,N,CLARK,ST, ,1,7799
S CLARK ST,S,CLARK,ST, ,1,2199
N CLEAVER ST,N,CLEAVER,ST, ,1100,1499
N CLEVELAND AVE,N,CLEVELAND,AVE, ,800,2399
N CLIFFORD AVE,N,CLIFFORD,AVE, ,5729,5799
N CLIFTON AVE,N,CLIFTON,AVE, ,1900,4799
N CLINTON ST,N,CLINTON,ST, ,1,529
S CLINTON ST,S,CLINTON,ST, ,1,1899
N CLOVER ST,N,CLOVER,ST, ,4000,4099
N CLYBOURN AVE,N,CLYBOURN,AVE, ,1200,3199
S CLYDE AVE,S,CLYDE,AVE, ,6700,9999
S COAST GUARD DR,S,COAST GUARD,DR, ,6246,6599
S COLES AVE,S,COLES,AVE, ,7100,8299
S COLFAX AVE,S,COLFAX,AVE, ,7400,9699
W COLLEGE PKWY,W,COLLEGE,PKWY, ,800,999
W COLUMBIA AVE,W,COLUMBIA,AVE, ,1000,7799
S COLUMBIA DR,S,COLUMBIA,DR, ,5700,5899
W COLUMBUS AVE,W,COLUMBUS,AVE, ,2400,4037
N COLUMBUS DR,N,COLUMBUS,DR, ,1,529
S COLUMBUS DR,S,COLUMBUS,DR, ,1,1332
N COLUMBUS LOWER DR,N,COLUMBUS LOWER,DR, ,150,341
N COLUMBUS RAMP DR,N,COLUMBUS RAMP,DR, ,0,199
N COLUMBUS SUB DR,N,COLUMBUS SUB,DR, ,0,339
S COMMERCIAL AVE,S,COMMERCIAL,AVE, ,7900,13399
S COMMERCIAL CT,S,COMMERCIAL,CT, ,8032,8099
S COMMODORE WHALEN DR,S,COMMODORE WHALEN,DR, ,6502,6599
N COMMONWEALTH AVE,N,COMMONWEALTH,AVE, ,2300,2939
W CONCORD LN,W,CONCORD,LN, ,200,299
W CONCORD PL,W,CONCORD,PL, ,300,5199
E CONGRESS DR,E,CONGRESS,DR, ,100,299
E CONGRESS PKWY,E,CONGRESS,PKWY, ,1,99
W CONGRESS PKWY,W,CONGRESS,PKWY, ,1,5599
S CONGRESS PLAZA DR,S,CONGRESS PLAZA,DR, ,400,599
N CONSERVATORY DR,N,CONSERVATORY,DR, ,200,410
S CONSTANCE AVE,S,CONSTANCE,AVE, ,6700,9599
S CORBETT ST,S,CORBETT,ST, ,2500,2599
W CORCORAN PL,W,CORCORAN,PL, ,5500,5999
S CORLISS AVE,S,CORLISS,AVE, ,10300,13450
W CORNELIA AVE,W,CORNELIA,AVE, ,500,8399
S CORNELL AVE,S,CORNELL,AVE, ,4700,9399
S CORNELL DR,S,CORNELL,DR, ,5700,6658
W CORTEZ DR,W,CORTEZ,DR, ,3132,3199
W CORTEZ ST,W,CORTEZ,ST, ,1170,5599
W CORTLAND ST,W,CORTLAND,ST, ,1201,7199
W COTTAGE PL,W,COTTAGE,PL, ,1200,1259
S COTTAGE GROVE AVE,S,COTTAGE GROVE,AVE, ,2200,12899
W COUCH PL,W,COUCH,PL, ,1,799
W COULTER ST,W,COULTER,ST, ,2000,2299
W COURT PL,W,COURT,PL, ,1,799
W COYLE AVE,W,COYLE,AVE, ,2400,7399
S CRANDON AVE,S,CRANDON,AVE, ,6700,10399
S CREGIER AVE,S,CREGIER,AVE, ,6700,9399
W CREST LINE ST,W,CREST LINE,ST, ,4100,4199
N CRILLY CT,N,CRILLY,CT, ,1700,1799
S CRILLY DR,S,CRILLY,DR, ,9500,9999
N CROSBY ST,N,CROSBY,ST, ,920,1199
S CROWELL ST,S,CROWELL,ST, ,2700,2799
W CRYSTAL ST,W,CRYSTAL,ST, ,1362,5599
W CRYSTAL CREEK,W,CRYSTAL CREEK, , ,0,0
W CTA 69TH ST LN,W,CTA 69TH ST,LN, ,1,99
W CTA 95TH ST LN,W,CTA 95TH ST,LN, ,1,99
E CTA BUS LN,E,CTA BUS,LN, ,600,699
N CTA BUS LN,N,CTA BUS,LN, ,530,599
S CTA BUS LN,S,CTA BUS,LN, ,500,525
N CTA BUS TURN,N,CTA BUS TURN, , ,5510,5599
S CTA BUS TURNAROUND,S,CTA BUS TURNAROUND, , ,6312,6399
E CULLERTON ST,E,CULLERTON,ST, ,1,399
W CULLERTON ST,W,CULLERTON,ST, ,1,4399
W CULLOM AVE,W,CULLOM,AVE, ,900,6099
N CUMBERLAND AVE,N,CUMBERLAND,AVE, ,3200,5899
W CUYLER AVE,W,CUYLER,AVE, ,800,6399
S CYRIL AVE,S,CYRIL,AVE, ,7128,7199
W DAKIN ST,W,DAKIN,ST, ,800,6799
N DAMEN AVE,N,DAMEN,AVE, ,1,7599
S DAMEN AVE E,S,DAMEN,AVE,E,801,1099
S DAMEN AVE,S,DAMEN,AVE, ,1,10099
S DAN RYAN EXPY IB,S,DAN RYAN,EXPY,IB,510,9599
S DAN RYAN EXPY OB,S,DAN RYAN,EXPY,OB,510,9699
S DAN RYAN 18TH ST ER,S,DAN RYAN 18TH ST,ER, ,1452,1799
S DAN RYAN 18TH ST XR,S,DAN RYAN 18TH ST,XR, ,1452,1799
S DAN RYAN 31ST ST ER,S,DAN RYAN 31ST ST,ER, ,3120,3299
S DAN RYAN 31ST ST XR,S,DAN RYAN 31ST ST,XR, ,3122,3299
S DAN RYAN 35TH ST ER,S,DAN RYAN 35TH ST,ER, ,3300,3699
S DAN RYAN 35TH ST XR,S,DAN RYAN 35TH ST,XR, ,3300,3699
S DAN RYAN 39TH ST ER,S,DAN RYAN 39TH ST,ER, ,3742,4099
S DAN RYAN 39TH ST XR,S,DAN RYAN 39TH ST,XR, ,3646,4099
S DAN RYAN 43RD ST ER,S,DAN RYAN 43RD ST,ER, ,4131,4499
S DAN RYAN 43RD ST XR,S,DAN RYAN 43RD ST,XR, ,4131,4499
S DAN RYAN 47TH ST ER,S,DAN RYAN 47TH ST,ER, ,4500,4647
S DAN RYAN 47TH ST XR,S,DAN RYAN 47TH ST,XR, ,4800,4900
S DAN RYAN 51ST ST ER,S,DAN RYAN 51ST ST,ER, ,4916,5299
S DAN RYAN 51ST ST XR,S,DAN RYAN 51ST ST,XR, ,4854,5299
S DAN RYAN 53RD ST ER,S,DAN RYAN 53RD ST,ER, ,5318,5499
S DAN RYAN 53RD ST XR,S,DAN RYAN 53RD ST,XR, ,5234,5499
S DAN RYAN 55TH ST ER,S,DAN RYAN 55TH ST,ER, ,5509,5699
S DAN RYAN 55TH ST XR,S,DAN RYAN 55TH ST,XR, ,5521,5998
S DAN RYAN 59TH ST ER,S,DAN RYAN 59TH ST,ER, ,5716,6099
S DAN RYAN 59TH ST XR,S,DAN RYAN 59TH ST,XR, ,5708,6299
S DAN RYAN 63RD ST XR,S,DAN RYAN 63RD ST,XR, ,6068,6299
S DAN RYAN 71ST ST ER,S,DAN RYAN 71ST ST,ER, ,6720,7299
S DAN RYAN 71ST ST XR,S,DAN RYAN 71ST ST,XR, ,6712,7399
S DAN RYAN 76TH ST XR,S,DAN RYAN 76TH ST,XR, ,7700,8099
S DAN RYAN 79TH ER,S,DAN RYAN 79TH,ER, ,1908,9899
S DAN RYAN 79TH XR,S,DAN RYAN 79TH,XR, ,2434,7899
S DAN RYAN 79TH ST ER IB,S,DAN RYAN 79TH ST,ER,IB,7730,7799
S DAN RYAN 83RD ST ER,S,DAN RYAN 83RD ST,ER, ,7626,8299
S DAN RYAN 83RD ST XR,S,DAN RYAN 83RD ST,XR, ,8056,8299
S DAN RYAN 87TH ST ER,S,DAN RYAN 87TH ST,ER, ,8434,8999
S DAN RYAN 87TH ST XR,S,DAN RYAN 87TH ST,XR, ,8422,8999
S DAN RYAN 95TH ST ER,S,DAN RYAN 95TH ST,ER, ,9234,9499
S DAN RYAN 95TH ST XR,S,DAN RYAN 95TH ST,XR, ,9200,9399
S DAN RYAN CANALPORT AV ER,S,DAN RYAN CANALPORT AV,ER, ,2014,2299
S DAN RYAN CANALPORT AV XR,S,DAN RYAN CANALPORT AV,XR, ,2150,2299
S DAN RYAN CERMAK ER,S,DAN RYAN CERMAK,ER, ,2200,3099
S DAN RYAN CERMAK XR,S,DAN RYAN CERMAK,XR, ,2200,3099
S DAN RYAN EISENHOWER ER OB,S,DAN RYAN EISENHOWER,ER,OB,600,899
S DAN RYAN EXPRESS EXPY IB,S,DAN RYAN EXPRESS,EXPY,IB,2600,6547
S DAN RYAN EXPRESS EXPY OB,S,DAN RYAN EXPRESS,EXPY,OB,2600,6599
S DAN RYAN EXPRESS SR,S,DAN RYAN EXPRESS,SR, ,4824,6099
S DAN RYAN EXPRESS FRANKLIN ER OB,S,DAN RYAN EXPRESS FRANKLIN,ER,OB,2726,3099
S DAN RYAN FRANKLIN ER OB,S,DAN RYAN FRANKLIN,ER,OB,2200,3099
S DAN RYAN I57 XR,S,DAN RYAN I57,XR, ,9600,9899
S DAN RYAN IB CANALPORT AV XR,S,DAN RYAN IB CANALPORT AV,XR, ,2030,2299
S DAN RYAN IB EISENHOWER ER,S,DAN RYAN IB EISENHOWER,ER, ,500,1299
N DESPLAINES ST,N,DESPLAINES,ST, ,1,599
W DAN RYAN IB EISENHOWER ER OB,W,DAN RYAN IB EISENHOWER,ER,OB,686,899
S DAN RYAN IB EISENHOWER OB ER,S,DAN RYAN IB EISENHOWER OB,ER, ,410,627
S DAN RYAN IB FRANKLIN EXT XR,S,DAN RYAN IB FRANKLIN EXT,XR, ,2200,3199
S DAN RYAN IB STEVENSON ER OB,S,DAN RYAN IB STEVENSON,ER,OB,2462,2599
W DAN RYAN IB STEVENSON ER OB,W,DAN RYAN IB STEVENSON,ER,OB,600,799
S DAN RYAN LA SALLE ST ER,S,DAN RYAN LA SALLE ST,ER, ,2712,2899
S DAN RYAN LOCAL SR,S,DAN RYAN LOCAL,SR, ,4400,6199
S DAN RYAN MARQUETTE RD ER,S,DAN RYAN MARQUETTE RD,ER, ,6720,7099
S DAN RYAN MARQUETTE RD XR,S,DAN RYAN MARQUETTE RD,XR, ,6700,7099
S DAN RYAN MICHIGAN AV ER,S,DAN RYAN MICHIGAN AV,ER, ,9724,9899
W DAN RYAN OB DAN RYAN XR,W,DAN RYAN OB DAN RYAN,XR, ,1,1291
S DAN RYAN OB EISENHOWER OB ER,S,DAN RYAN OB EISENHOWER OB,ER, ,446,465
W DAN RYAN OB EISENHOWER OB ER,W,DAN RYAN OB EISENHOWER OB,ER, ,466,789
S DAN RYAN OB STEVENSON IB ER,S,DAN RYAN OB STEVENSON IB,ER, ,2404,2599
W DAN RYAN OB STEVENSON IB ER,W,DAN RYAN OB STEVENSON IB,ER, ,202,599
S DAN RYAN OB STEVENSON OB ER,S,DAN RYAN OB STEVENSON OB,ER, ,800,999
W DAN RYAN OB STEVENSON OB ER,W,DAN RYAN OB STEVENSON OB,ER, ,2404,2527
S DAN RYAN OB STEVENSON OB XR,S,DAN RYAN OB STEVENSON OB,XR, ,2120,2399
S DAN RYAN ROOSEVELT RD ER,S,DAN RYAN ROOSEVELT RD,ER, ,1144,1299
S DAN RYAN ROOSEVELT RD XR,S,DAN RYAN ROOSEVELT RD,XR, ,1244,1399
S DAN RYAN ROOSEVELT ST ER,S,DAN RYAN ROOSEVELT ST,ER, ,812,999
S DAN RYAN ROOSEVELT ST XR,S,DAN RYAN ROOSEVELT ST,XR, ,1000,1199
S DAN RYAN TAYLOR ST XR,S,DAN RYAN TAYLOR ST,XR, ,620,831
W DAN RYAN TAYLOR ST XR,W,DAN RYAN TAYLOR ST,XR, ,832,999
S DAN RYAN WENTWORTH AV XR,S,DAN RYAN WENTWORTH AV,XR, ,2816,9799
S DANIEL DR,S,DANIEL,DR, ,13000,13199
S DANTE AVE,S,DANTE,AVE, ,6330,9199
S DAUPHIN AVE,S,DAUPHIN,AVE, ,8700,10899
N DAVLIN CT,N,DAVLIN,CT, ,3000,3199
S DAVOL ST,S,DAVOL,ST, ,11232,11499
N DAWSON AVE,N,DAWSON,AVE, ,2800,2999
N DAYTON ST,N,DAYTON,ST, ,1400,4399
W DE SAIBLE ST,W,DE SAIBLE,ST, ,232,299
N DEAN ST,N,DEAN,ST, ,1334,1399
N DEARBORN PKWY,N,DEARBORN,PKWY, ,1500,1599
N DEARBORN ST,N,DEARBORN,ST, ,1,1499
S DEARBORN ST,S,DEARBORN,ST, ,1,5499
W DEKALB ST,W,DEKALB,ST, ,0,0
W DEKOVEN ST,W,DEKOVEN,ST, ,540,599
S DELANO CT E,S,DELANO,CT,E,1000,1199
S DELANO CT W,S,DELANO,CT,W,1100,1199
