FullName,Direction,Name,Suffix,SuffixDirection,MinAddress,MaxAddress
E 15TH PL,E,15TH,PL, ,200,299
W 15TH PL,W,15TH,PL, ,500,3199
W 15TH ST,W,15TH,ST, ,1,4499
W 16TH PL,W,16TH,PL, ,650,699
E 16TH ST,E,16TH,ST, ,1,299
W 16TH ST,W,16TH,ST, ,1,4599
W 17TH PL,W,17TH,PL, ,700,799
E 17TH ST,E,17TH,ST, ,300,399
W 17TH ST,W,17TH,ST, ,1,4399
W 18TH DR,W,18TH,DR, ,2800,2815
W 18TH PL,W,18TH,PL, ,900,4399
E 18TH ST,E,18TH,ST, ,1,509
W 18TH ST,W,18TH,ST, ,1,4399
W 19TH PL,W,19TH,PL, ,700,1199
W 19TH ST,W,19TH,ST, ,1,4399
W 20TH PL,W,20TH,PL, ,534,1199
W 21ST PL,W,21ST,PL, ,734,4399
E 21ST ST,E,21ST,ST, ,1,355
W 21ST ST,W,21ST,ST, ,122,4399
W 22ND PL,W,22ND,PL, ,200,2899
E 23RD DR,E,23RD,DR, ,400,518
W 23RD PL,W,23RD,PL, ,200,2899
E 23RD ST,E,23RD,ST, ,1,399
W 23RD ST,W,23RD,ST, ,1,3799
W 24TH BLVD,W,24TH,BLVD, ,2800,2939
E 24TH PL,E,24TH,PL, ,1,399
W 24TH PL,W,24TH,PL, ,200,4399
E 24TH ST,E,24TH,ST, ,1,339
W 24TH ST,W,24TH,ST, ,33,4199
E 25TH PL,E,25TH,PL, ,300,399
W 25TH PL,W,25TH,PL, ,1,4399
E 25TH ST,E,25TH,ST, ,7,499
W 25TH ST,W,25TH,ST, ,1,4399
W 26TH PL,W,26TH,PL, ,33,2635
E 26TH ST,E,26TH,ST, ,1,499
W 26TH ST,W,26TH,ST, ,1,4599
E 27TH ST,E,27TH,ST, ,500,599
W 27TH ST,W,27TH,ST, ,1,4399
E 28TH PL,E,28TH,PL, ,107,198
W 28TH PL,W,28TH,PL, ,200,599
E 28TH ST,E,28TH,ST, ,1,99
W 28TH ST,W,28TH,ST, ,390,4499
E 29TH PL,E,29TH,PL, ,440,516
W 29TH PL,W,29TH,PL, ,332,399
E 29TH ST,E,29TH,ST, ,1,599
W 29TH ST,W,29TH,ST, ,36,999
W 30TH PL,W,30TH,PL, ,332,2761
E 30TH ST,E,30TH,ST, ,1,499
W 30TH ST,W,30TH,ST, ,1,4599
W 31ST BLVD,W,31ST,BLVD, ,2400,2799
E 31ST DR,E,31ST,DR, ,600,799
E 31ST PL,E,31ST,PL, ,426,499
W 31ST PL,W,31ST,PL, ,900,2099
E 31ST ST,E,31ST,ST, ,1,599
W 31ST ST,W,31ST,ST, ,1,4599
W 31ST ST OP,W,31ST,ST,OP,4400,4699
E 32ND PL,E,32ND,PL, ,500,598
W 32ND PL,W,32ND,PL, ,900,2499
E 32ND ST,E,32ND,ST, ,44,699
W 32ND ST,W,32ND,ST, ,1,4399
E 33RD BLVD,E,33RD,BLVD, ,100,399
E 33RD PL,E,33RD,PL, ,400,698
W 33RD PL,W,33RD,PL, ,800,1899
E 33RD ST,E,33RD,ST, ,1,699
W 33RD ST,W,33RD,ST, ,1,4398
W 34TH PL,W,34TH,PL, ,800,2499
E 34TH ST,E,34TH,ST, ,1,463
W 34TH ST,W,34TH,ST, ,1,3799
W 35TH PL,W,35TH,PL, ,1,4459
E 35TH ST,E,35TH,ST, ,1,699
W 35TH ST,W,35TH,ST, ,1,3899
E 36TH PL,E,36TH,PL, ,1,599
W 36TH PL,W,36TH,PL, ,1200,3299
E 36TH ST,E,36TH,ST, ,1,799
W 36TH ST,W,36TH,ST, ,1,4460
E 37TH PL,E,37TH,PL, ,1,799
W 37TH PL,W,37TH,PL, ,232,3499
E 37TH ST,E,37TH,ST, ,1,899
W 37TH ST,W,37TH,ST, ,60,3499
E 38TH PL,E,38TH,PL, ,500,899
W 38TH PL,W,38TH,PL, ,232,3599
E 38TH ST,E,38TH,ST, ,1,999
W 38TH ST,W,38TH,ST, ,28,3899
W 39TH PL,W,39TH,PL, ,2500,3199
E 40TH PL,E,40TH,PL, ,3800,3899
W 40TH PL,W,40TH,PL, ,30,3199
E 40TH ST,E,40TH,ST, ,1,999
W 40TH ST,W,40TH,ST, ,1,4299
E 41ST PL,E,41ST,PL, ,1000,1099
W 41ST PL,W,41ST,PL, ,3000,3199
E 41ST ST,E,41ST,ST, ,1,1099
W 41ST ST,W,41ST,ST, ,400,4399
E 42ND PL,E,42ND,PL, ,400,1199
W 42ND PL,W,42ND,PL, ,300,3199
E 42ND ST,E,42ND,ST, ,1,1199
W 42ND ST,W,42ND,ST, ,300,4729
W 43RD PL,W,43RD,PL, ,38,1330
E 43RD ST,E,43RD,ST, ,1,1199
W 43RD ST,W,43RD,ST, ,1,4999
E 44TH PL,E,44TH,PL, ,500,1299
W 44TH PL,W,44TH,PL, ,200,4999
E 44TH ST,E,44TH,ST, ,1,1199
W 44TH ST,W,44TH,ST, ,100,5199
E 45TH PL,E,45TH,PL, ,400,499
W 45TH PL,W,45TH,PL, ,100,3829
E 45TH ST,E,45TH,ST, ,1,1199
W 45TH ST,W,45TH,ST, ,100,5199
E 46TH PL,E,46TH,PL, ,400,599
